Year,Week,Date & Time,Date,Favorite,Spread,Underdog,Total,Money Odds,home,away
2016,5,10/9 1:00 ET,10/9/2016,MIA,-2.50,TEN,44,-$140 +$120,MIA,TEN
2016,5,10/9 1:00 ET,10/9/2016,NE,-10.00,CLE,48,-$525 +$400,CLE,NE
2016,5,10/9 1:00 ET,10/9/2016,PIT,-9.50,NYJ,50,-$450 +$350,PIT,NYJ
2016,5,10/9 1:00 ET,10/9/2016,BAL,-4.00,WAS,44.5,-$200 +$170,BAL,WAS
2016,5,10/9 1:00 ET,10/9/2016,PHI,-3.50,DET,46,-$180 +$160,DET,PHI
2016,5,10/9 1:00 ET,10/9/2016,IND,-4.00,CHI,47.5,-$200 +$175,IND,CHI
2016,5,10/9 4:05 ET,10/9/2016,DEN,-4.00,ATL,44.5,-$195 +$175,DEN,ATL
2016,5,10/9 4:25 ET,10/9/2016,BUF,-2.50,LA,41.5,-$140 +$120,LA,BUF
2016,5,10/9 4:25 ET,10/9/2016,OAK,-3.50,SD,51,-$185 +$165,OAK,SD
2016,5,10/9 4:25 ET,10/9/2016,CIN,-2.50,DAL,45.5,-$140 +$120,DAL,CIN
2016,5,10/9 8:30 ET,10/9/2016,GB,-7.00,NYG,50,-$325 +$265,GB,NYG
2016,4,9/29 8:25 ET,9/29/2016,CIN,-7.50,MIA,46.5,-$360 +$300,CIN,MIA
2016,4,10/2/2017 9:30,10/2/2016,IND,-1.00,JAX,48.5,-$115  -$105,JAX,IND
2016,4,10/2 1:00 ET,10/2/2016,WAS,-7.50,CLE,48,-$350 +$290,WAS,CLE
2016,4,10/2 1:00 ET,10/2/2016,NE,-3.50,BUF,41,-$190 +$170,NE,BUF
2016,4,10/2 1:00 ET,10/2/2016,SEA,-1.00,NYJ,40,-$115  -$105,NYJ,SEA
2016,4,10/2 1:00 ET,10/2/2016,CAR,-3.00,ATL,48.5,-$155 +$135,ATL,CAR
2016,4,10/2 1:00 ET,10/2/2016,DET,-3.50,CHI,48,-$175 +$155,CHI,DET
2016,4,10/2 1:00 ET,10/2/2016,HOU,-4.00,TEN,40.5,-$200 +$170,HOU,TEN
2016,4,10/2 1:00 ET,10/2/2016,BAL,-3.50,OAK,45,-$185 +$165,BAL,OAK
2016,4,10/2 4:05 ET,10/2/2016,DEN,-3.50,TB,43,-$185 +$165,TB,DEN
2016,4,10/2 4:25 ET,10/2/2016,DAL,-1.50,SF,44,-$125 +$105,SF,DAL
2016,4,10/2 4:25 ET,10/2/2016,SD,-4.00,NO,54,-$200 +$170,SD,NO
2016,4,10/2 4:25 ET,10/2/2016,ARI,-9.50,LA,43.5,-$450 +$375,ARI,LA
2016,4,10/2 8:30 ET,10/2/2016,PIT,-3.50,KC,48.5,-$180 +$160,PIT,KC
2016,3,9/22 8:25 ET,9/22/2016,NE,-1.00,HOU,38.5,-$115  -$105,NE,HOU
2016,3,9/25 1:00 ET,9/25/2016,CIN,-3.50,DEN,41.5,-$190 +$170,CIN,DEN
2016,3,9/25 1:00 ET,9/25/2016,OAK,-1.50,TEN,47,-$125 +$105,TEN,OAK
2016,3,9/25 1:00 ET,9/25/2016,ARI,-5.00,BUF,48,-$240 +$200,BUF,ARI
2016,3,9/25 1:00 ET,9/25/2016,BAL,-2.00,JAX,45,-$130 +$110,JAX,BAL
2016,3,9/25 1:00 ET,9/25/2016,MIA,-10.00,CLE,42.5,-$450 +$350,MIA,CLE
2016,3,9/25 1:00 ET,9/25/2016,NYG,-3.50,WAS,47,-$180 +$160,NYG,WAS
2016,3,9/25 1:00 ET,9/25/2016,GB,-6.50,DET,47.5,-$290 +$240,GB,DET
2016,3,9/25 1:00 ET,9/25/2016,CAR,-6.50,MIN,42.5,-$280 +$240,CAR,MIN
2016,3,9/25 4:05 ET,9/25/2016,SEA,-10.50,SF,41.5,-$475 +$375,SEA,SF
2016,3,9/25 4:05 ET,9/25/2016,TB,-3.50,LA,40.5,-$180 +$160,TB,LA
2016,3,9/25 4:25 ET,9/25/2016,PIT,-4.00,PHI,46.5,-$205 +$175,PHI,PIT
2016,3,9/25 4:25 ET,9/25/2016,KC,-3.00,NYJ,44.5,-$165 +$145,KC,NYJ
2016,3,9/25 4:25 ET,9/25/2016,IND,-1.50,SD,51.5,-$125 +$105,IND,SD
2016,3,9/25 8:30 ET,9/25/2016,DAL,-6.50,CHI,45,-$270 +$230,DAL,CHI
2016,2,9/15 8:25 ET,9/15/2016,BUF,0.00,NYJ,40.5,-$110  -$110,BUF,NYJ
2016,2,9/18 1:00 ET,9/18/2016,DET,-6.00,TEN,48,-$270 +$230,DET,TEN
2016,2,9/18 1:00 ET,9/18/2016,HOU,-1.00,KC,42,-$115  -$105,HOU,KC
2016,2,9/18 1:00 ET,9/18/2016,NE,-5.50,MIA,42,-$255 +$215,NE,MIA
2016,2,9/18 1:00 ET,9/18/2016,BAL,-4.50,CLE,42,-$225 +$185,CLE,BAL
